"Id","Label"
"ou_2522691","Christian Roth"
"ou_1863300","Christoph Rademacher"
"ou_2237635","Climate Geochemistry"
"ou_2035296","Clinical Research"
"ou_2173651","Clinical neuroscience"
"ou_3033585","CoDisEASe"
"ou_1497692","Coherent diffractive imaging"
"ou_55208","Communication Before Language"
"ou_2461693","Comparative Anatomy of the Mammalian Retina Group"
"ou_55209","Comparative Cognitive Anthropology"
"ou_2461694","Computation in Neural Circuits Group"
"ou_40046","Computational Biology and Applied Algorithmics"
"ou_1116546","Computational Genomics and Epidemiology"
"ou_1863337","Computational Materials Design"
"ou_1738141","Computational Methods in Systems and Control Theory"
"ou_1863341","Computational Phase Studies"
"ou_1497693","Computational Photobiology"
"ou_2541714","Computational Relativistic Astrophysics"
"ou_2205642","Computational Structure Formation"
"ou_1856297","Computer Center Garching (RZG)"
"ou_40047","Computer Graphics"
"ou_1116547","Computer Vision and Machine Learning"
"ou_1938285","Condensed Matter Dynamics Department"
"ou_2461695","Connectomics Department"
"ou_1565144","Conti, Elena / Structural Cell Biology"
"ou_2173676","Cooperations"
"ou_1753301","Cooperative Research Groups"
"ou_745545","Coordination of Cognitive Systems"
"ou_1942291","Core Facilities"
"ou_1664138","Core Facilities / Bioinformatics"
"ou_1664139","Core Facilities / Experimental Animals"
"ou_1664140","Core Facilities / Flow Cytometry"
"ou_1664141","Core Facilities / Microarray"
"ou_1664142","Core Facilities / Microscopy"
"ou_1664143","Core Facilities / Proteinanalysis"
"ou_1664144","Core Facilities / Proteinpurification"
"ou_1497694","Cortical Circuits"
"ou_2461696","Cortical Function and Dynamics Group"
"ou_1497695","Cortical Two Photon Imaging"
"ou_2173652","Cortical development"
"ou_1826294","Cosmochemistry"
"ou_159876","Cosmology"
"ou_2063284","Cox, Jürgen / Computational Systems Biochemistry"
"ou_2489694","Criminal Law"
"ou_2489695","Criminology"
"ou_1497696","Crystallography"
"ou_1497697","Cytochrome P450"
"ou_1863290","Damien Faivre"
"ou_1863301","Daniel Kolarich"
"ou_1863302","Daniel Varón Silva"
"ou_3150629","Daston Emeritus Group"
"ou_24018","Databases and Information Systems"
"ou_55222","Decoding Continuous Speech"
"ou_1863342","Defect Chemistry and Spectroscopy"
"ou_907575","Department 'Integration and Conflict'"
"ou_907577","Department 'Law & Anthropology'"
"ou_907576","Department 'Resilience and Transformation in Eurasia'"
"ou_3148641","Department Adams / Tissue Morphogenesis"
"ou_1942285","Department Antebi"
"ou_2266697","Department Artefacts Action and Knowledge"
"ou_1688139","Department Biogeochemical Integration, Dr. M. Reichstein"
"ou_1497751","Department Biogeochemical Processes, Prof. E.-D. Schulze"
"ou_1497752","Department Biogeochemical Processes, Prof. S. E. Trumbore"
"ou_1497753","Department Biogeochemical Synthesis, Prof. C. Prentice"
"ou_1497754","Department Biogeochemical Systems, Prof. D. Schimel"
"ou_1497755","Department Biogeochemical Systems, Prof. M. Heimann"
"ou_1753299","Department Bock"
"ou_634563","Department Cognitive Neurology"
"ou_2243646","Department Emeritus Laboratory"
"ou_1497795","Department Empirical Inference"
"ou_1445634","Department Evolutionary Ecology"
"ou_1445635","Department Evolutionary Genetics"
"ou_1445641","Department Evolutionary Theory"
"ou_2266698","Department Experimental Systems and Spaces of Knowledge"
"ou_1497796","Department High-Field Magnetic Resonance"
"ou_1497797","Department Human Perception, Cognition and Action"
"ou_2074305","Department I"
"ou_2074306","Department II"
"ou_2074307","Department III"
"ou_2266696","Department Ideals and Practices of Rationality"
"ou_2243648","Department Immunometabolism"
"ou_2149643","Department Jens Brüning"
"ou_1942286","Department Larsson"
"ou_2421699","Department Microbial Population Biology"
"ou_634549","Department Neurology"
"ou_634550","Department Neurophysics"
"ou_2205649","Department Neurophysics (Weiskopf)"
"ou_634551","Department Neuropsychology"
"ou_1942287","Department Partridge"
"ou_1497798","Department Physiology of Cognitive Processes"
"ou_1832288","Department Planets and Comets"
"ou_634564","Department Psychology"
"ou_2591710","Department Psychology (Doeller)"
"ou_3148643","Department Schöler / Cell and Developmental Biology"
"ou_634552","Department Social Neuroscience"
"ou_1832287","Department Solar and Stellar Interiors"
"ou_1753298","Department Stitt"
"ou_2266695","Department Structural Changes in Systems of Knowledge"
"ou_1832289","Department Sun and Heliosphere"
"ou_3148647","Department Vestweber / Vascular Cell Biology"
"ou_1753297","Department Willmitzer"
"ou_3149186","Department for the Ecology of Animal Societies"
"ou_2173678","Department of Behavior and Brain Organization"
"ou_1113566","Department of Biochemistry (Klaus Hahlbrock)"
"ou_578618","Department of Biochemistry and Cell Biology"
"ou_421893","Department of Biochemistry, Prof. J. Gershenzon"
"ou_2481693","Department of Biogeochemistry"
"ou_1497699","Department of Biomedical Optics"
"ou_1497700","Department of Biomolecular Mechanisms"
"ou_24028","Department of Bioorganic Chemistry, Prof. Dr. W. Boland"
"ou_2068289","Department of Biophysical Chemistry"
"ou_1497701","Department of Cell Physiology"
"ou_578576","Department of Cellular Biochemistry"
"ou_2243657","Department of Cellular Immunology"
"ou_578574","Department of Cellular Logistics"
"ou_1664145","Department of Cellular Microbiology"
"ou_2243641","Department of Cellular and Molecular Immunology"
"ou_2243643","Department of Chromatin Regulation"
"ou_3054976","Department of Collective Behavior"
"ou_3040267","Department of Comparative Cultural Psychology"
"ou_1604137","Department of Comparative Development and Genetics (Miltos Tsiantis)"
"ou_3034882","Department of Computational Neuroethology"
"ou_3017468","Department of Computational Neuroscience"
"ou_2243650","Department of Developmental Biology"
"ou_2243647","Department of Developmental Immunology"
"ou_1497671","Department of Developmental and Comparative Psychology"
"ou_578600","Department of Dynamics at Surfaces"
"ou_2063299","Department of Dynamics of Complex Fluids"
"ou_421895","Department of Entomology, Prof. D. G. Heckel"
"ou_2243644","Department of Epigenetics"
"ou_1497672","Department of Evolutionary Genetics"
"ou_421894","Department of Evolutionary Neuroethology, Prof. B. S. Hansson"
"ou_3047605","Department of Foreign and International Social Law"
"ou_persistent34","Department of Genes and Behavior"
"ou_1113567","Department of Genetic Principles of Plant Breeding (Jozef Schell)"
"ou_421896","Department of Genetics and Evolution"
"ou_2173689","Department of Human Behavior Ecology and Culture"
"ou_1497673","Department of Human Evolution"
"ou_1664146","Department of Immunology"
"ou_2243642","Department of Independent Research Groups"
"ou_2421695","Department of Language and Literature"
"ou_38005","Department of Linguistics"
"ou_2570692","Department of Living Matter Physics"
"ou_2243652","Department of Medical Microbiology"
"ou_2205654","Department of Meiosis"
"ou_578579","Department of Membrane Biophysics"
"ou_2481695","Department of Microbiology"
"ou_3054975","Department of Migration"
"ou_1863498","Department of Molecular Biology"
"ou_578628","Department of Molecular Biology"
"ou_1664147","Department of Molecular Biology"
"ou_1497702","Department of Molecular Biology"
"ou_578585","Department of Molecular Cell Biology"
"ou_1497703","Department of Molecular Cell Research"
"ou_578590","Department of Molecular Developmental Biology"
"ou_2481696","Department of Molecular Ecology"
"ou_24029","Department of Molecular Ecology, Prof. I. T. Baldwin"
"ou_2243651","Department of Molecular Embryology"
"ou_578622","Department of Molecular Genetics"
"ou_2068290","Department of Molecular Membrane Biology"
"ou_1497704","Department of Molecular Neurobiology"
"ou_2068296","Department of Molecular Neurogenetics"
"ou_1497705","Department of Molecular Physics"
"ou_1113568","Department of Molecular Plant Genetics (Heinz Saedler)"
"ou_2173679","Department of Molecular Sensory Systems"
"ou_3040395","Department of Molecular Sociology"
"ou_2421696","Department of Music"
"ou_578567","Department of NMR Based Structural Biology"
"ou_578627","Department of NanoBiophotonics"
"ou_3011808","Department of Natural Product Biosynthesis, Prof. Dr. Sarah O'Connor"
"ou_578595","Department of Neurobiology"
"ou_2421697","Department of Neuroscience"
"ou_2063286","Department of Nonlinear Dynamics"
"ou_1497706","Department of Organic Chemistry"
"ou_578598","Department of Physical Biochemistry"
"ou_2068297","Department of Physiology"
"ou_1113569","Department of Plant Breeding and Genetics (Maarten Koornneef)"
"ou_1113570","Department of Plant Breeding and Yield Physiology (Francesco Salamini)"
"ou_1113571","Department of Plant Developmental Biology (George Coupland)"
"ou_1113572","Department of Plant Microbe Interactions (Paul Schulze-Lefert)"
"ou_1497674","Department of Primatology"
"ou_2266691","Department of Regulation in Infection Biology"
"ou_3017467","Department of Sensory and Sensorimotor Systems"
"ou_2068291","Department of Structural Biology"
"ou_2205645","Department of Structural Dynamics"
"ou_2481699","Department of Symbiosis"
"ou_2068292","Department of Theoretical Biophysics"
"ou_578631","Department of Theoretical and Computational Biophysics"
"ou_1113548","Department: Circuits-Computation-Models / Borst"
"ou_1128546","Department: Electrons-Photons-Neurons / Denk"
"ou_1128545","Department: Genes-Circuits-Behavior / Baier"
"ou_1113546","Department: Molecules-Signaling-Development / Klein"
"ou_1113545","Department: Synapses-Circuits-Plasticity / Bonhoeffer"
"ou_1497646","Dept. Autonomous Motion"
"ou_1800284","Dept. Blom: Molecular Electronics"
"ou_1800285","Dept. Bonn: Molecular Spectroscopy"
"ou_1800286","Dept. Butt: Physics at Interfaces"
"ou_1497647","Dept. Empirical Inference"
"ou_2301694","Dept. Haptic Intelligence"
"ou_1800287","Dept. Kremer: Polymer Theory"
"ou_1800288","Dept. Landfester: Physical Chemistry of Polymers"
"ou_1497648","Dept. Modern Magnetic Systems"
"ou_1800289","Dept. Müllen: Synthetic Chemistry"
"ou_1497649","Dept. New Materials and Biosystems"
"ou_1497642","Dept. Perceiving Systems"
"ou_2054292","Dept. Physical Intelligence"
"ou_2035294","Dept. Stress Neurobiology and Neurogenetics"
"ou_1497643","Dept. Theory of Inhomogeneous Condensed Matter"
"ou_2035295","Dept. Translational Research in Psychiatry"
"ou_2301691","Dept. Weil: Synthesis of Macromolecules"
"ou_1433547","Dept. of Computational Molecular Biology (Head: Martin Vingron)"
"ou_1433548","Dept. of Developmental Genetics (Head: Bernhard G. Herrmann)"
"ou_2379694","Dept. of Genome Regulation (Head: Alexander Meissner)"
"ou_1433549","Dept. of Human Molecular Genetics (Head: Hans-Hilger Ropers)"
"ou_1433550","Dept. of Vertebrate Genomics (Head: Hans Lehrach)"
"ou_1497707","Depth penetration in Multi-photon microscopy"
"ou_2591697","Developmental Genetics"
"ou_2461697","Developmental Neurobiology Group"
"ou_1753313","Developmental Physiology and Genomics"
"ou_1497708","Dietmar Manstein Group"
"ou_2266717","Diploid Genomics (Margret R. Hoehe)"
"ou_1116548","Discrete Optimization"
"ou_904546","Division Prof. Dr. Christoph H. Keitel"
"ou_2074298","Division Prof. Dr. James A. Hinton"
"ou_904547","Division Prof. Dr. Joachim H. Ullrich"
"ou_904548","Division Prof. Dr. Klaus Blaum"
"ou_904549","Division Prof. Dr. Manfred Lindner"
"ou_2025284","Division Prof. Dr. Thomas Pfeifer"
"ou_904550","Division Prof. Dr. Werner Hofmann"
"ou_2237636","Dr. Klaus Lunkenheimer"
"ou_24016","Duality & Integrable Structures"
"ou_2265639","Duderstadt, Karl / Structure and Dynamics of Molecular Machines"
"ou_2074319","Dynamics and Transport in Nanostructures"
"ou_1497709","Dynamics of cortical networks"
"ou_3011845","ECCPS Bioinformatics & Deep Sequencing"
"ou_3164813","ERC Advanced Grant: Solar magnetic field and its influence on solar variability and activity (SOLMAG)"
"ou_1800290","ERC Group Backus: Water at Interfaces"
"ou_1800292","ERC Group Feng: 2D-Nanomaterials"
"ou_2570691","ERC Group Hunger: Liquid dynamics"
"ou_3164815","ERC Starting Grant: Activity of Comets and Asteroids (CAstRA)"
"ou_3164811","ERC Starting Grant: Connecting Solar and Stellar Variabilities (SOLVe)"
"ou_3164812","ERC Synergy Grant: Untangling the complex physical mechanisms behind our eruptive star and its twins (WHOLESUN)"
"ou_1497799","EU Regional Office Baden-Württemberg"
"ou_1856334","EURYI Research Group 'Zonal Flows'"
"ou_2035292","Economic Department"
"ou_2481700","Ecophysiology Group"
"ou_2379696","Efficient Algorithms for Omics Data (Knut Reinert)"
"ou_3011113","Electrochemical Energy Conversion"
"ou_2253635","Electrochemistry and Corrosion Science"
"ou_2591707","Electron Microscopy"
"ou_2173680","Electron Microscopy and Analytics"
"ou_1856298","Electron Spectroscopy Group (ELSPEC)"
"ou_1497710","Electron microscopy"
"ou_2074300","Emanuel Schneck"
"ou_2344699","Emeriti"
"ou_2149646","Emeriti"
"ou_904551","Emeriti"
"ou_1497650","Emeriti and Others"
"ou_2074301","Emeritiertes wissenschaftliches Mitglied"
"ou_1497711","Emeritus Group Bioorganic Chemistry"
"ou_1497712","Emeritus Group Biophysics"
"ou_578629","Emeritus Group Laboratory of Cellular Dynamics"
"ou_1445636","Emeritus Group Lampert"
"ou_2591693","Emeritus Group Milinski"
"ou_2063297","Emeritus Group Molecular Interactions"
"ou_1497713","Emeritus Group Prof. Dr. B. Hess"
"ou_578624","Emeritus Group Spectroscopy and Photochemical Kinetics"
"ou_1800296","Emeritus Group Spiess: Polymer Spectroscopy"
"ou_578617","Emeritus Group of Biochemical Kinetics"
"ou_578619","Emeritus Group of Biochemistry and Cell Biology"
"ou_2385695","Emeritus Group of Human Molecular Genetics (Head: Hans-Hilger Ropers)"
"ou_1571137","Emeritus Group of Membrane Biophysics, Erwin Neher, 2011 -"
"ou_3049159","Emeritus Group of Molecular Biology"
"ou_3049889","Emeritus Group of Molecular Developmental Biology"
"ou_578623","Emeritus Group of Molecular Genetics"
"ou_578625","Emeritus Group of Spectroscopy and Photochemical Kinetics"
"ou_2385697","Emeritus Group of Vertebrate Genomics (Head: Hans Lehrach)"
"ou_1497756","Emeritus Group, Prof. E.-D. Schulze"
"ou_2243649","Emeritus Group: Cellular Immunology"
"ou_1113549","Emeritus Group: Cortical Column in silico / Sakmann"
"ou_2243656","Emeritus Group: Molecular Embryology"
"ou_1113550","Emeritus Group: Neurochemistry / Thoenen"
"ou_1113551","Emeritus Group: Neuromorphology / Kreutzberg"
"ou_1113552","Emeritus Group: Neuropharmakology / Herz"
"ou_3164405","Emeritus Groups"
"ou_913546","Emeritus Scientific Members"
"ou_2253652","Emeritusgruppe Biophysikalische Chemie"
"ou_2344697","Emmy Noether Group Bereau: Biomolecular Simulations"
"ou_1800293","Emmy Noether Group Domke: Raman Spectroscopy at Solid-Liquid Interfaces"
"ou_3174475","Emmy Noether Group Nuhn: Macromolecular Therapeutics"
"ou_3170500","Emmy Noether Group: Lifespan Neural Dynamics Group"
"ou_2364691","Emmy Noether Research Group"
"ou_2616693","Emmy Noether Research Group Evolutionary Immunogenomics"
"ou_2068286","Emmy Noether Research Group Evolutionary Immunogenomics"
"ou_1863335","Emmy Noether Research Group Non-Equilibrium Statistical Physics"
"ou_2068285","Emmy-Noether-Group Community Dynamics"
"ou_3034883","Emmy-Noether-Group Neurobiology of Flight Control"
"ou_1938312","Empirical Inference of the Earth System, Dr. Miguel D. Mahecha"
"ou_2025298","Endocrinology Laboratory"
"ou_1753325","Energy Metabolism"
"ou_1856296","Energy and System Studies"
"ou_2149681","Environmental Modelling"
"ou_2173647","Ethics, Law and Politics"
"ou_2301699","Eurasia3angle"
"ou_1214546","Europäische Liberalisierungspolitik"
"ou_55223","Event Representation"
"ou_1479650","Evolution and Development (Albert Poustka)"
"ou_1479638","Evolutionary Genomics (Peter Arndt)"
"ou_55210","Evolutionary Processes in Language and Culture"
"ou_1497675","Evolutionary Roots of Human Social Interaction"
"ou_1856295","Experimental Plasma Physics 1 (E1)"
"ou_1856292","Experimental Plasma Physics 2 (E2)"
"ou_1856291","Experimental Plasma Physics 3 (E3)"
"ou_1856293","Experimental Plasma Physics 4 (E4)"
"ou_1753342","Experimental Systems Biology"
"ou_2301692","External"
"ou_1863346","External Max Planck Fellow"
"ou_1445637","External Scientific Member Group Experimental and Evolutionary Genetics"
"ou_2074308","External Scientific Members"
"ou_1938294","Extreme Timescales"
"ou_1942304","FACS & Imaging"
"ou_2541700","FINDER"
"ou_2253648","FSU Jena Research Group Ecohydrology, Dr. A. Hildebrandt"
"ou_1863303","Fabian Pfrengle"
"ou_578615","Facility for Electron Microscopy"
"ou_578589","Facility of Microarray Analyses"
"ou_2591706","Facs Service"
"ou_1479644","Familial Cognitive Disorders (Luciana Musante)"
"ou_2385692","Felix Löffler"
"ou_2541693","Fellow Group Comparative Constitutionalism"
"ou_1520137","Fellow Group Governance of Cultural Diversity"
"ou_2063298","Fellow Group Polymers, complex fluids and disordered systems"
"ou_1445563","FemtoScience"
"ou_1607139","Florian Holsboer (Direktor)"
"ou_2481701","Flux Group"
"ou_2364735","Fly Facility"
"ou_1497651","Former Central Scientific Facility ANKA Synchroton Beamlinie"
"ou_1497652","Former Central Scientific Facility Metallography"
"ou_1497653","Former Central Scientific Facility Pelletron Accelerator"
"ou_1497800","Former Department Comparative Neurobiology"
"ou_1497801","Former Department Information Processing in Insects"
"ou_2528700","Former Department MRZ"
"ou_1497802","Former Department Neurophysiology of Insect Behavior"
"ou_1497803","Former Department Structure and Function of Natural Nerve-Net"
"ou_1497655","Former Dept. Micro/Nanomechanics of Thin Films and Biological Systems"
"ou_1497654","Former Dept. Materials Synthesis and Microstructure Design"
"ou_1497645","Former Dept. Metastable and Low-Dimensional Materials"
"ou_1497657","Former Dept. Microstructure Interfaces"
"ou_1497644","Former Dept. Phase Transformations; Thermodynamics and Kinetics"
"ou_1497656","Former Dept. Theory of Mesoscopic Phenomena"
"ou_1497658","Former Max Planck Fellow Group Soft Matter"
"ou_1497660","Former Max Planck Research Group Nonlinear Spectroscopy of Bio-Interfaces"
"ou_1497661","Former Max Planck Research Group Protein Mechanics"
"ou_1497662","Former Minerva Research Group Magnetic Nanostructures"
"ou_1497663","Former Research Group Biomedical Applications"
"ou_2528698","Former Research Group Computational Neuroanatomy"
"ou_1497667","Former Research Group Glycobiotechnology"
"ou_2528696","Former Research Group Machine Learning and Computational Biology"
"ou_1497664","Former Research Group Machine Learning and Computational Biology"
"ou_1497665","Former Research Group Machines Learning Theory"
"ou_1497659","Former Research Group Membrane Biophysics"
"ou_2129641","Former Research Group Nanoelectronics for Cellular Interfaces"
"ou_2528697","Former Research Group Network Imaging"
"ou_2528699","Former Research Group Neural Computation and Behaviour"
"ou_1863334","Former Research Group Semiconductor Biosensors"
"ou_1688138","Former Research Group Sensorimotor Learning and Decision-Making"
"ou_1933284","Former Research Group Smart Nano-Bio-Devices"
"ou_1565145","Former Research Groups"
"ou_1497669","Former Stuttgart Center for Electron Microscopy"
"ou_1462641","Forschungsprojekt ArsRoma"
"ou_1462642","Forschungsprojekt Lineamenta"
"ou_2173653","Fractal physiology"
"ou_1863409","Frank Wagner"
"ou_1565146","Fromherz, Peter / Membrane and Neurophysics"
"ou_2173654","Function and physiology of ion channels"
"ou_1738137","Functional Biogeography, Dr. J. Kattge and Prof. C. Wirth"
"ou_1565147","Fässler, Reinhard / Molecular Medicine"
"ou_1565148","Förster, Friedrich / Modeling of Protein Complexes"
"ou_159878","Galaxy Formation"
"ou_2205643","Galaxy Formation"
"ou_1753333","Gene Function"
"ou_1479640","Gene Structure and Array Design (Stefan Haas)"
"ou_1479639","Gene regulation (Martin Vingron)"
"ou_2266712","General Guest"
"ou_2074329","Genetic Diversity and Selection"
"ou_2559696","Genetic Diversity through Space and Time"
"ou_1479651","Genetic Variation, Haplotypes, and Genetics of Complex Disease (Margret Hoehe)"
"ou_3165593","Genetics of Host-Microbe Interactions"
"ou_2497694","Genetics of Metabolic Traits"
"ou_1753308","Genome Structure and Function"
"ou_2074331","Genomes"
"ou_1826288","Geochemistry"
"ou_24012","Geometric Analysis and Gravitation"
"ou_1753352","Geometric Measure Theory"
"ou_1497714","Georg Köhr Group"
"ou_2243653","Georges Köhler Laboratory"
"ou_1565149","Gerisch, Günther / Cell Dynamics"
"ou_55224","Gesture"
"ou_1938311","Global Diagnostic Modelling, Dr. Martin Jung"
"ou_1214547","Globale Strukturen und ihre Steuerung"
"ou_2149637","Gorillas"
"ou_1116549","Graphics - Optics - Vision"
"ou_1565150","Grashoff, Carsten / Molecular Mechanotransduction"
"ou_2477691","Gravitation and Black Hole Theory"
"ou_159879","Gravitational Lensing"
"ou_2477692","Gravity, Quantum Fields and Information"
"ou_2149638","Great Ape Evolutionary Ecology and Conservation"
"ou_1863287","Grenzflächen"
"ou_1214548","Grenzüberschreitende Institutionenbildung"
"ou_1856335","Group 'Astrophysics and Laboratory Plasma Studies' (ALPS)"
"ou_2105295","Group A. Clement"
"ou_2105299","Group A. Rybalchenko"
"ou_2541698","Group A. Singla"
"ou_2063307","Group Active soft matter"
"ou_2105285","Group B. Brandenburg"
"ou_3148644","Group Boiani / Mouse Embryology Laboratory"
"ou_3166771","Group Bruder / Laboratory for High Throughput Organoid Generation and Screening"
"ou_2105296","Group C. Danescu-Niculescu-Mizil"
"ou_3148645","Group Cojocaru / Computional Structural Biology"
"ou_2063306","Group Collective phenomena far from equilibrium"
"ou_2105286","Group D. Dreyer"
"ou_2105289","Group D. Garg"
"ou_2063313","Group Dynamics of biological matter"
"ou_2063300","Group Dynamics of fluid and biological interfaces"
"ou_2541697","Group E. Darulova"
"ou_2466704","Group EcoBus"
"ou_2466703","Group Fluidics in heterogeneous environments"
"ou_3031905","Group G. Zetzsche"
"ou_2063311","Group Geometry of Fluid Interfaces"
"ou_3031907","Group J. Mace"
"ou_2541691","Group J. Ouaknine"
"ou_2105291","Group K. Gummadi"
"ou_3031906","Group K. Jang"
"ou_2149682","Group M. Backes"
"ou_2541696","Group M. Christakis"
"ou_2105290","Group M. Gomez Rodriguez"
"ou_2063302","Group Micro- and nanostructures in two-phase fluids"
"ou_2466705","Group Next generation mobility"
"ou_2063308","Group Non-equilibrium soft matter"
"ou_2063305","Group Nonlinear laser spectroscopy"
"ou_2105287","Group P. Druschel"
"ou_2105288","Group P. Francis"
"ou_2063304","Group Pattern formation in the geosciences"
"ou_3171842","Group Physics of social systems"
"ou_2063312","Group Principles of Self Organisation"
"ou_2105292","Group R. Majumdar"
"ou_2105297","Group R. Piskac"
"ou_2105298","Group R. Rodrigues"
"ou_2063314","Group Spectroscopy of aqueous surfaces"
"ou_2063310","Group Statistical mechanics of granular media"
"ou_2063301","Group Structure formation in soft matter"
"ou_2063303","Group Theory of wet random assemblies"
"ou_2105294","Group U. Acar"
"ou_2105293","Group V. Vafeiadis"
"ou_3148668","Group Wild / Vascular Glycoimmunology Laboratory"
"ou_3166773","Group Wu / Mouse Preimplantation Development Laboratory"
"ou_3148646","Group Zaehres / Stem Cell Engineering Laboratory"
"ou_904555","Group of D. Schwalm/Zajfman"
"ou_904556","Group of H. J. Völk"
"ou_904557","Group of K. Mauersberger"
"ou_1565151","Gruber, Stephan / Chromosome Organization and Dynamics"
"ou_3164416","Guck Division"
"ou_904552","Guest Group Archaeometry"
"ou_1445638","Guest Group Evolutionary Genomics"
"ou_3026061","Guest Researcher"
"ou_2364696","Guests"
"ou_2404691","Guests and External Members"
"ou_2481702","HGF MPG Joint Research Group for Deep Sea Ecology & Technology"
"ou_1832284","Habermann, Bianca / Computational Biology"
"ou_1863311","Hans Riegler"
"ou_2074291","Harding Center for Risk Literacy"
"ou_1565152","Hartl, Franz-Ulrich / Cellular Biochemistry"
"ou_3164404","Hartmann Group"
"ou_1565153","Hayer-Hartl, Manajit / Chaperonin-assisted Protein Folding"
"ou_2266694","Heisenberg Research Group Socio-emotional Development and Health Across the Lifespan"
"ou_1856336","Helmholtz Junior Research Group 'Computational Material Science' (Junior Research Group HFG-Greifswald)"
